event_id,user_id,session_id,event_timestamp,event_date,event_name,traffic_source,device_category,country,product_category,price,order_id,revenue,ab_group
57,u_000008,s_000008_00_0,2026-01-21 16:45:27,2026-01-21,session_start,paid_search,mobile,AM,,,,0.0,B
58,u_000008,s_000008_00_0,2026-01-21 16:47:27,2026-01-21,view_item,paid_search,mobile,AM,electronics,15314.59,,0.0,B
59,u_000008,s_000008_01_0,2026-01-22 17:35:09,2026-01-22,session_start,paid_search,mobile,AM,,,,0.0,B
60,u_000008,s_000008_01_0,2026-01-22 17:38:09,2026-01-22,view_item,paid_search,mobile,AM,electronics,10128.04,,0.0,B
61,u_000008,s_000008_07_0,2026-01-28 21:02:57,2026-01-28,session_start,paid_search,mobile,AM,,,,0.0,B
62,u_000008,s_000008_07_0,2026-01-28 21:07:57,2026-01-28,view_item,paid_search,mobile,AM,beauty,2500.03,,0.0,B
63,u_000009,s_000009_00_0,2026-01-14 19:51:15,2026-01-14,session_start,social,desktop,RU,,,,0.0,B
64,u_000009,s_000009_00_0,2026-01-14 19:52:15,2026-01-14,view_item,social,desktop,RU,books,1301.95,,0.0,B
65,u_000009,s_000009_01_0,2026-01-15 15:14:12,2026-01-15,session_start,social,desktop,RU,,,,0.0,B
66,u_000009,s_000009_01_1,2026-01-15 15:22:19,2026-01-15,session_start,social,desktop,RU,,,,0.0,B
67,u_000009,s_000009_03_0,2026-01-17 11:01:42,2026-01-17,session_start,social,desktop,RU,,,,0.0,B
68,u_000009,s_000009_03_0,2026-01-17 11:04:42,2026-01-17,view_item,social,desktop,RU,fashion,5860.09,,0.0,B
69,u_000009,s_000009_26_0,2026-02-09 18:53:34,2026-02-09,session_start,social,desktop,RU,,,,0.0,B
70,u_000009,s_000009_26_0,2026-02-09 18:56:34,2026-02-09,view_item,social,desktop,RU,electronics,6301.72,,0.0,B
71,u_000009,s_000009_26_0,2026-02-09 19:01:34,2026-02-09,add_to_cart,social,desktop,RU,electronics,6301.72,,0.0,B
72,u_000009,s_000009_26_0,2026-02-09 19:11:34,2026-02-09,begin_checkout,social,desktop,RU,electronics,6301.72,,0.0,B
73,u_000009,s_000009_26_0,2026-02-09 19:22:34,2026-02-09,purchase,social,desktop,RU,electronics,6301.72,o_00000073,4963.77,B
74,u_000010,s_000010_00_0,2026-01-04 22:21:39,2026-01-04,session_start,paid_search,mobile,RU,,,,0.0,A
75,u_000010,s_000010_00_0,2026-01-04 22:24:39,2026-01-04,view_item,paid_search,mobile,RU,books,2012.52,,0.0,A
76,u_000010,s_000010_01_0,2026-01-05 13:25:44,2026-01-05,session_start,paid_search,mobile,RU,,,,0.0,A
77,u_000010,s_000010_01_0,2026-01-05 13:27:44,2026-01-05,view_item,paid_search,mobile,RU,electronics,5987.49,,0.0,A
78,u_000011,s_000011_00_0,2026-01-10 18:40:39,2026-01-10,session_start,direct,mobile,RU,,,,0.0,A
79,u_000011,s_000011_00_0,2026-01-10 18:42:39,2026-01-10,view_item,direct,mobile,RU,books,2018.84,,0.0,A
80,u_000011,s_000011_03_0,2026-01-13 11:09:01,2026-01-13,session_start,direct,mobile,RU,,,,0.0,A
81,u_000011,s_000011_03_0,2026-01-13 11:13:01,2026-01-13,view_item,direct,mobile,RU,sports,3634.08,,0.0,A
82,u_000011,s_000011_06_0,2026-01-16 11:45:44,2026-01-16,session_start,direct,mobile,RU,,,,0.0,A
83,u_000011,s_000011_06_0,2026-01-16 11:47:44,2026-01-16,view_item,direct,mobile,RU,fashion,3136.52,,0.0,A
84,u_000011,s_000011_11_0,2026-01-21 20:55:49,2026-01-21,session_start,direct,mobile,RU,,,,0.0,A
85,u_000011,s_000011_11_1,2026-01-21 20:27:14,2026-01-21,session_start,direct,mobile,RU,,,,0.0,A
86,u_000011,s_000011_11_1,2026-01-21 20:29:14,2026-01-21,view_item,direct,mobile,RU,sports,4818.52,,0.0,A
87,u_000012,s_000012_00_0,2026-01-04 15:28:16,2026-01-04,session_start,direct,desktop,GE,,,,0.0,A
88,u_000012,s_000012_00_0,2026-01-04 15:31:16,2026-01-04,view_item,direct,desktop,GE,books,1586.7,,0.0,A
89,u_000012,s_000012_11_0,2026-01-15 18:15:17,2026-01-15,session_start,direct,desktop,GE,,,,0.0,A
90,u_000012,s_000012_11_0,2026-01-15 18:20:17,2026-01-15,view_item,direct,desktop,GE,beauty,2856.68,,0.0,A
91,u_000012,s_000012_11_0,2026-01-15 18:23:17,2026-01-15,add_to_cart,direct,desktop,GE,beauty,2856.68,,0.0,A
92,u_000012,s_000012_11_0,2026-01-15 18:26:17,2026-01-15,begin_checkout,direct,desktop,GE,beauty,2856.68,,0.0,A
93,u_000012,s_000012_11_0,2026-01-15 18:29:17,2026-01-15,purchase,direct,desktop,GE,beauty,2856.68,o_00000093,3062.45,A
94,u_000012,s_000012_29_0,2026-02-02 13:34:29,2026-02-02,session_start,direct,desktop,GE,,,,0.0,A
95,u_000012,s_000012_29_0,2026-02-02 13:39:29,2026-02-02,view_item,direct,desktop,GE,electronics,6470.24,,0.0,A
96,u_000013,s_000013_00_0,2026-01-01 14:31:01,2026-01-01,session_start,direct,mobile,RU,,,,0.0,B
97,u_000013,s_000013_00_0,2026-01-01 14:35:01,2026-01-01,view_item,direct,mobile,RU,beauty,3471.81,,0.0,B
98,u_000013,s_000013_01_0,2026-01-02 22:08:39,2026-01-02,session_start,direct,mobile,RU,,,,0.0,B
99,u_000013,s_000013_01_0,2026-01-02 22:09:39,2026-01-02,view_item,direct,mobile,RU,sports,3721.96,,0.0,B
100,u_000013,s_000013_15_0,2026-01-16 15:11:03,2026-01-16,session_start,direct,mobile,RU,,,,0.0,B
101,u_000013,s_000013_15_0,2026-01-16 15:15:03,2026-01-16,view_item,direct,mobile,RU,fashion,3422.32,,0.0,B
102,u_000013,s_000013_15_1,2026-01-16 20:56:24,2026-01-16,session_start,direct,mobile,RU,,,,0.0,B
103,u_000013,s_000013_15_1,2026-01-16 21:00:24,2026-01-16,view_item,direct,mobile,RU,sports,3200.08,,0.0,B
104,u_000013,s_000013_15_1,2026-01-16 21:09:24,2026-01-16,add_to_cart,direct,mobile,RU,sports,3200.08,,0.0,B
105,u_000013,s_000013_15_1,2026-01-16 21:15:24,2026-01-16,begin_checkout,direct,mobile,RU,sports,3200.08,,0.0,B
106,u_000013,s_000013_15_1,2026-01-16 21:18:24,2026-01-16,purchase,direct,mobile,RU,sports,3200.08,o_00000106,3429.97,B
107,u_000013,s_000013_32_0,2026-02-02 18:02:48,2026-02-02,session_start,direct,mobile,RU,,,,0.0,B
108,u_000013,s_000013_32_0,2026-02-02 18:04:48,2026-02-02,view_item,direct,mobile,RU,fashion,4915.84,,0.0,B
109,u_000013,s_000013_32_0,2026-02-02 18:06:48,2026-02-02,add_to_cart,direct,mobile,RU,fashion,4915.84,,0.0,B
110,u_000014,s_000014_00_0,2026-01-07 11:04:37,2026-01-07,session_start,organic_search,mobile,RU,,,,0.0,A
111,u_000014,s_000014_00_0,2026-01-07 11:05:37,2026-01-07,view_item,organic_search,mobile,RU,home,4735.47,,0.0,A
112,u_000014,s_000014_07_0,2026-01-14 18:38:51,2026-01-14,session_start,organic_search,mobile,RU,,,,0.0,A
113,u_000014,s_000014_07_0,2026-01-14 18:42:51,2026-01-14,view_item,organic_search,mobile,RU,sports,5424.92,,0.0,A
114,u_000014,s_000014_25_0,2026-02-01 18:21:00,2026-02-01,session_start,organic_search,mobile,RU,,,,0.0,A
115,u_000014,s_000014_25_1,2026-02-01 21:31:06,2026-02-01,session_start,organic_search,mobile,RU,,,,0.0,A
116,u_000014,s_000014_25_1,2026-02-01 21:35:06,2026-02-01,view_item,organic_search,mobile,RU,fashion,3326.52,,0.0,A
117,u_000014,s_000014_26_0,2026-02-02 19:33:41,2026-02-02,session_start,organic_search,mobile,RU,,,,0.0,A
118,u_000014,s_000014_26_0,2026-02-02 19:37:41,2026-02-02,view_item,organic_search,mobile,RU,books,1189.09,,0.0,A
119,u_000015,s_000015_00_0,2026-01-19 13:51:16,2026-01-19,session_start,direct,desktop,RU,,,,0.0,A
120,u_000015,s_000015_00_0,2026-01-19 13:54:16,2026-01-19,view_item,direct,desktop,RU,books,1499.51,,0.0,A
121,u_000015,s_000015_02_0,2026-01-21 11:05:15,2026-01-21,session_start,direct,desktop,RU,,,,0.0,A
122,u_000015,s_000015_02_0,2026-01-21 11:09:15,2026-01-21,view_item,direct,desktop,RU,home,6617.42,,0.0,A
123,u_000015,s_000015_21_0,2026-02-09 12:14:25,2026-02-09,session_start,direct,desktop,RU,,,,0.0,A
124,u_000015,s_000015_21_0,2026-02-09 12:19:25,2026-02-09,view_item,direct,desktop,RU,fashion,2722.26,,0.0,A
125,u_000015,s_000015_21_1,2026-02-09 16:33:22,2026-02-09,session_start,direct,desktop,RU,,,,0.0,A
126,u_000015,s_000015_21_1,2026-02-09 16:36:22,2026-02-09,view_item,direct,desktop,RU,beauty,2312.3,,0.0,A
127,u_000015,s_000015_21_1,2026-02-09 16:40:22,2026-02-09,add_to_cart,direct,desktop,RU,beauty,2312.3,,0.0,A
128,u_000015,s_000015_21_1,2026-02-09 16:44:22,2026-02-09,begin_checkout,direct,desktop,RU,beauty,2312.3,,0.0,A
129,u_000015,s_000015_21_1,2026-02-09 17:02:22,2026-02-09,purchase,direct,desktop,RU,beauty,2312.3,o_00000129,2564.14,A
130,u_000016,s_000016_00_0,2026-01-25 10:17:02,2026-01-25,session_start,organic_search,desktop,RU,,,,0.0,B
131,u_000016,s_000016_01_0,2026-01-26 19:08:40,2026-01-26,session_start,organic_search,desktop,RU,,,,0.0,B
132,u_000016,s_000016_01_0,2026-01-26 19:12:40,2026-01-26,view_item,organic_search,desktop,RU,home,7861.2,,0.0,B
133,u_000017,s_000017_00_0,2026-01-11 09:35:48,2026-01-11,session_start,organic_search,tablet,RU,,,,0.0,A
134,u_000017,s_000017_00_0,2026-01-11 09:40:48,2026-01-11,view_item,organic_search,tablet,RU,home,5099.22,,0.0,A
135,u_000017,s_000017_00_0,2026-01-11 09:49:48,2026-01-11,add_to_cart,organic_search,tablet,RU,home,5099.22,,0.0,A
136,u_000017,s_000017_00_0,2026-01-11 09:57:48,2026-01-11,begin_checkout,organic_search,tablet,RU,home,5099.22,,0.0,A
137,u_000017,s_000017_00_0,2026-01-11 10:16:48,2026-01-11,purchase,organic_search,tablet,RU,home,5099.22,o_00000137,5446.79,A
138,u_000017,s_000017_03_0,2026-01-14 17:47:06,2026-01-14,session_start,organic_search,tablet,RU,,,,0.0,A
139,u_000017,s_000017_06_0,2026-01-17 11:16:42,2026-01-17,session_start,organic_search,tablet,RU,,,,0.0,A
140,u_000017,s_000017_06_0,2026-01-17 11:21:42,2026-01-17,view_item,organic_search,tablet,RU,electronics,11358.66,,0.0,A
141,u_000017,s_000017_06_0,2026-01-17 11:22:42,2026-01-17,add_to_cart,organic_search,tablet,RU,electronics,11358.66,,0.0,A
142,u_000017,s_000017_06_0,2026-01-17 11:32:42,2026-01-17,begin_checkout,organic_search,tablet,RU,electronics,11358.66,,0.0,A
143,u_000017,s_000017_06_0,2026-01-17 11:34:42,2026-01-17,purchase,organic_search,tablet,RU,electronics,11358.66,o_00000143,11523.99,A
144,u_000017,s_000017_14_0,2026-01-25 15:04:43,2026-01-25,session_start,organic_search,tablet,RU,,,,0.0,A
145,u_000017,s_000017_14_0,2026-01-25 15:09:43,2026-01-25,view_item,organic_search,tablet,RU,fashion,5703.29,,0.0,A
146,u_000018,s_000018_00_0,2026-01-07 12:44:25,2026-01-07,session_start,paid_search,desktop,AM,,,,0.0,A
147,u_000018,s_000018_02_0,2026-01-09 15:28:05,2026-01-09,session_start,paid_search,desktop,AM,,,,0.0,A
148,u_000018,s_000018_02_0,2026-01-09 15:29:05,2026-01-09,view_item,paid_search,desktop,AM,books,1551.42,,0.0,A
149,u_000018,s_000018_02_0,2026-01-09 15:30:05,2026-01-09,add_to_cart,paid_search,desktop,AM,books,1551.42,,0.0,A
150,u_000018,s_000018_03_0,2026-01-10 12:36:02,2026-01-10,session_start,paid_search,desktop,AM,,,,0.0,A
151,u_000018,s_000018_03_0,2026-01-10 12:41:02,2026-01-10,view_item,paid_search,desktop,AM,electronics,7918.19,,0.0,A
152,u_000019,s_000019_00_0,2026-01-09 16:02:29,2026-01-09,session_start,social,desktop,RU,,,,0.0,A
153,u_000019,s_000019_00_0,2026-01-09 16:07:29,2026-01-09,view_item,social,desktop,RU,fashion,5440.62,,0.0,A
154,u_000019,s_000019_01_0,2026-01-10 21:34:29,2026-01-10,session_start,social,desktop,RU,,,,0.0,A
155,u_000019,s_000019_01_0,2026-01-10 21:37:29,2026-01-10,view_item,social,desktop,RU,electronics,14529.94,,0.0,A
156,u_000019,s_000019_01_1,2026-01-10 15:40:28,2026-01-10,session_start,social,desktop,RU,,,,0.0,A
157,u_000019,s_000019_26_0,2026-02-04 16:08:59,2026-02-04,session_start,social,desktop,RU,,,,0.0,A
158,u_000019,s_000019_26_0,2026-02-04 16:13:59,2026-02-04,view_item,social,desktop,RU,books,1511.34,,0.0,A
159,u_000020,s_000020_00_0,2026-01-23 15:15:29,2026-01-23,session_start,paid_search,mobile,RU,,,,0.0,A
160,u_000020,s_000020_00_0,2026-01-23 15:20:29,2026-01-23,view_item,paid_search,mobile,RU,fashion,4222.43,,0.0,A
161,u_000020,s_000020_07_0,2026-01-30 21:04:17,2026-01-30,session_start,paid_search,mobile,RU,,,,0.0,A
162,u_000020,s_000020_09_0,2026-02-01 13:59:50,2026-02-01,session_start,paid_search,mobile,RU,,,,0.0,A
163,u_000020,s_000020_09_0,2026-02-01 14:04:50,2026-02-01,view_item,paid_search,mobile,RU,books,1536.51,,0.0,A
164,u_000020,s_000020_14_0,2026-02-06 21:09:28,2026-02-06,session_start,paid_search,mobile,RU,,,,0.0,A
165,u_000020,s_000020_14_0,2026-02-06 21:14:28,2026-02-06,view_item,paid_search,mobile,RU,fashion,4996.27,,0.0,A
166,u_000021,s_000021_00_0,2026-01-13 08:08:32,2026-01-13,session_start,organic_search,mobile,RU,,,,0.0,A
167,u_000021,s_000021_02_0,2026-01-15 09:55:54,2026-01-15,session_start,organic_search,mobile,RU,,,,0.0,A
168,u_000021,s_000021_02_0,2026-01-15 09:59:54,2026-01-15,view_item,organic_search,mobile,RU,home,4193.5,,0.0,A
169,u_000021,s_000021_07_0,2026-01-20 09:30:50,2026-01-20,session_start,organic_search,mobile,RU,,,,0.0,A
170,u_000021,s_000021_10_0,2026-01-23 19:25:41,2026-01-23,session_start,organic_search,mobile,RU,,,,0.0,A
171,u_000021,s_000021_10_0,2026-01-23 19:30:41,2026-01-23,view_item,organic_search,mobile,RU,fashion,4613.48,,0.0,A
172,u_000022,s_000022_00_0,2026-01-11 12:57:01,2026-01-11,session_start,direct,mobile,RU,,,,0.0,B
173,u_000022,s_000022_00_0,2026-01-11 12:59:01,2026-01-11,view_item,direct,mobile,RU,books,1504.0,,0.0,B
174,u_000022,s_000022_00_0,2026-01-11 13:06:01,2026-01-11,add_to_cart,direct,mobile,RU,books,1504.0,,0.0,B
175,u_000022,s_000022_00_1,2026-01-11 20:11:10,2026-01-11,session_start,direct,mobile,RU,,,,0.0,B
176,u_000022,s_000022_00_1,2026-01-11 20:15:10,2026-01-11,view_item,direct,mobile,RU,home,7895.61,,0.0,B
177,u_000022,s_000022_02_0,2026-01-13 22:37:09,2026-01-13,session_start,direct,mobile,RU,,,,0.0,B
178,u_000022,s_000022_02_0,2026-01-13 22:41:09,2026-01-13,view_item,direct,mobile,RU,home,4354.56,,0.0,B
179,u_000022,s_000022_07_0,2026-01-18 10:04:28,2026-01-18,session_start,direct,mobile,RU,,,,0.0,B
180,u_000022,s_000022_21_0,2026-02-01 12:40:27,2026-02-01,session_start,direct,mobile,RU,,,,0.0,B
181,u_000022,s_000022_21_0,2026-02-01 12:43:27,2026-02-01,view_item,direct,mobile,RU,fashion,4559.93,,0.0,B
182,u_000022,s_000022_21_0,2026-02-01 12:50:27,2026-02-01,add_to_cart,direct,mobile,RU,fashion,4559.93,,0.0,B
183,u_000022,s_000022_29_0,2026-02-09 14:36:22,2026-02-09,session_start,direct,mobile,RU,,,,0.0,B
184,u_000022,s_000022_29_0,2026-02-09 14:40:22,2026-02-09,view_item,direct,mobile,RU,sports,4273.81,,0.0,B
185,u_000022,s_000022_29_1,2026-02-09 17:55:43,2026-02-09,session_start,direct,mobile,RU,,,,0.0,B
186,u_000023,s_000023_00_0,2026-01-02 18:41:02,2026-01-02,session_start,social,desktop,AM,,,,0.0,B
187,u_000023,s_000023_00_0,2026-01-02 18:46:02,2026-01-02,view_item,social,desktop,AM,fashion,6761.03,,0.0,B
188,u_000023,s_000023_00_1,2026-01-02 10:05:58,2026-01-02,session_start,social,desktop,AM,,,,0.0,B
189,u_000023,s_000023_00_1,2026-01-02 10:10:58,2026-01-02,view_item,social,desktop,AM,beauty,2954.44,,0.0,B
190,u_000023,s_000023_02_0,2026-01-04 16:58:17,2026-01-04,session_start,social,desktop,AM,,,,0.0,B
191,u_000023,s_000023_07_0,2026-01-09 21:30:51,2026-01-09,session_start,social,desktop,AM,,,,0.0,B
192,u_000023,s_000023_07_0,2026-01-09 21:31:51,2026-01-09,view_item,social,desktop,AM,books,1774.94,,0.0,B
193,u_000023,s_000023_09_0,2026-01-11 20:14:55,2026-01-11,session_start,social,desktop,AM,,,,0.0,B
194,u_000023,s_000023_09_1,2026-01-11 18:25:54,2026-01-11,session_start,social,desktop,AM,,,,0.0,B
195,u_000023,s_000023_41_0,2026-02-12 20:25:00,2026-02-12,session_start,social,desktop,AM,,,,0.0,B
196,u_000023,s_000023_41_0,2026-02-12 20:28:00,2026-02-12,view_item,social,desktop,AM,electronics,8518.01,,0.0,B
197,u_000024,s_000024_00_0,2026-01-27 08:02:19,2026-01-27,session_start,paid_search,desktop,RU,,,,0.0,B
198,u_000024,s_000024_00_1,2026-01-27 09:06:15,2026-01-27,session_start,paid_search,desktop,RU,,,,0.0,B
199,u_000024,s_000024_10_0,2026-02-06 15:23:42,2026-02-06,session_start,paid_search,desktop,RU,,,,0.0,B
200,u_000024,s_000024_10_1,2026-02-06 19:34:26,2026-02-06,session_start,paid_search,desktop,RU,,,,0.0,B
201,u_000024,s_000024_10_1,2026-02-06 19:38:26,2026-02-06,view_item,paid_search,desktop,RU,beauty,3587.07,,0.0,B
202,u_000024,s_000024_14_0,2026-02-10 17:26:17,2026-02-10,session_start,paid_search,desktop,RU,,,,0.0,B
203,u_000024,s_000024_14_0,2026-02-10 17:29:17,2026-02-10,view_item,paid_search,desktop,RU,fashion,1979.39,,0.0,B
204,u_000024,s_000024_14_0,2026-02-10 17:35:17,2026-02-10,add_to_cart,paid_search,desktop,RU,fashion,1979.39,,0.0,B
205,u_000024,s_000024_14_0,2026-02-10 17:46:17,2026-02-10,begin_checkout,paid_search,desktop,RU,fashion,1979.39,,0.0,B
206,u_000024,s_000024_14_0,2026-02-10 17:59:17,2026-02-10,purchase,paid_search,desktop,RU,fashion,1979.39,o_00000206,2114.64,B
207,u_000025,s_000025_00_0,2026-01-09 16:13:37,2026-01-09,session_start,organic_search,desktop,RU,,,,0.0,A
208,u_000025,s_000025_00_0,2026-01-09 16:18:37,2026-01-09,view_item,organic_search,desktop,RU,books,1501.48,,0.0,A
209,u_000025,s_000025_00_0,2026-01-09 16:21:37,2026-01-09,add_to_cart,organic_search,desktop,RU,books,1501.48,,0.0,A
210,u_000025,s_000025_05_0,2026-01-14 20:11:07,2026-01-14,session_start,organic_search,desktop,RU,,,,0.0,A
211,u_000025,s_000025_05_0,2026-01-14 20:12:07,2026-01-14,view_item,organic_search,desktop,RU,electronics,12816.17,,0.0,A
212,u_000025,s_000025_07_0,2026-01-16 17:20:01,2026-01-16,session_start,organic_search,desktop,RU,,,,0.0,A
213,u_000025,s_000025_07_0,2026-01-16 17:21:01,2026-01-16,view_item,organic_search,desktop,RU,electronics,11331.87,,0.0,A
214,u_000025,s_000025_14_0,2026-01-23 16:37:06,2026-01-23,session_start,organic_search,desktop,RU,,,,0.0,A
215,u_000025,s_000025_14_0,2026-01-23 16:42:06,2026-01-23,view_item,organic_search,desktop,RU,electronics,8272.0,,0.0,A
216,u_000025,s_000025_14_0,2026-01-23 16:51:06,2026-01-23,add_to_cart,organic_search,desktop,RU,electronics,8272.0,,0.0,A
217,u_000025,s_000025_14_0,2026-01-23 17:02:06,2026-01-23,begin_checkout,organic_search,desktop,RU,electronics,8272.0,,0.0,A
218,u_000026,s_000026_00_0,2026-01-02 17:33:18,2026-01-02,session_start,direct,mobile,RU,,,,0.0,B
